FCC,Other ID,RA [deg],DEC [deg],spectra,survey/telescope,ALMA,MUSE
FCC 3,ESO 357-12,49.2229167,-35.5413889,no,,no,no
FCC 9,LSBG F418-059,49.8540417,-32.6494444,no,,no,no
FCC 10,IC 1913,49.894075,-32.4651139,no,,no,no
FCC 13,NGC 1310,50.2642083,-37.1016833,yes,6dF,yes,no
FCC 19,ESO 301-8,50.5946,-37.3975,yes,6dF,no,no
FCC 21,NGC 1316,50.675,-37.2083,no,,yes,yes
FCC 22,NGC 1317,50.68333,-37.1038889,no,,yes,yes
FCC 26,ESO 357-25,50.9052,-35.7785,no,,yes,no
FCC 28,ESO 301-11,50.9767,-37.51,no,,no,no
FCC 29,NGC 1326,50.98333,-36.464722,yes,6dF,yes,yes
FCC 32,LEDA 12758,51.2185,-35.435444,yes,6dF,yes,no
FCC 33,NGC 1316C,51.2458333,-37.009444,yes,6dF,yes,no
FCC 35,LEDA 74402,51.26666,-36.927777,no,,no,no
FCC 36,LEDA 74404,51.3,-32.902777,yes,2dF,no,no
FCC 37,NGC 1326A,51.2841667,-36.3641667,no,,yes,no
FCC 40,LSBG F358-097,51.35416666,-36.74472222,no,,no,no
FCC 43,IC 1919,51.50833,-32.89472,yes,6dF,no,no
FCC 46,LEDA 74428,51.604167,-37.127778,no,,no,no
FCC 47,NGC 1336,51.63333,-35.71361,yes,6dF,yes,yes
FCC 53,ESO 358-5,51.81667,-33.48444,no,,yes,no
FCC 55,ESO 358-6,51.825,-34.52638,yes,6dF,no,no
FCC 62,NGC 1341,51.991667,-37.149444,yes,6dF,yes,no
FCC 67,NGC 1351A,52.204166,-35.178888,yes,6dF,yes,no
FCC 68,LEDA 74521,52.2166,-33.8463,no,,no,no
FCC 76,ESO 358-10,52.4302,-33.557,no,,no,no
FCC 81,LEDA 74584,52.5423,-33.6931,no,,no,no
FCC 82,LEDA 74605,52.6268,-34.2594,no,,no,no
FCC 83,NGC 1351,52.645625,-34.8539556,yes,6dF,yes,yes
FCC 85,LEDA 74617,52.6925,-35.5501,no,,no,no
FCC 88,NGC 1350,52.78333,-33.628611,yes,6dF,yes,no
FCC 90,LEDA 13058,52.7845,-36.2901,yes,6dF,yes,yes
FCC 91,LEDA 74658,52.82916666,-32.052222,no,,no,no
FCC 95,LEDA 13084,52.854166,-35.33083,yes,6dF,no,no
FCC 100,FLSBG 024,52.9485,-35.0514,no,,no,no
FCC 101,LSBG F358-065,52.946,-35.6761,no,,no,no
FCC 102,LSBG F358-091,53.044,-36.2196,no,,yes,no
FCC 106,LSBG F358-061,53.1987,-34.2387,yes,6dF,no,no
FCC 111,LEDA 74711,53.265,-33.7248,no,,no,no
FCC 113,ESO 358-15,53.2791666,-34.80722,yes,6dF,no,no
FCC 115,ESO 358- 16,53.2883,-35.7181,no,,yes,no
FCC 116,LEDA 74714,53.3031,-36.0174,yes,6dF,no,no
FCC 119,LEDA 13177,53.3916666,-33.573055,yes,6dF,no,yes
FCC 120,LEDA 13185,53.39166,-36.60555,no,,no,no
FCC 123,LEDA 13186,53.4305,-35.8594,no,,no,no
FCC 128,LEDA 74732,53.529166,-36.465833,no,,no,no
FCC 132,LEDA 74736,53.5762,-35.7946,no,,no,no
FCC 135,ESO 358-19,53.629166,-34.2975,no,,no,no
FCC 136,LEDA 13230,53.6228,-35.5465,no,,no,no
FCC 139,ESO 358-20,53.739,-32.6395,no,,yes,no
FCC 143,NGC 1373,53.7458333,-35.171111,yes,6dF,no,yes
FCC 147,NGC 1374,53.820833,-35.22611,yes,6dF,yes,yes
FCC 148,NGC 1375,53.8208333,-35.265277,yes,6dF,yes,yes
FCC 150,LEDA 74752,53.85,-36.36388,no,,no,no
FCC 152,ESO 358-25,53.8875,-32.465,yes,6dF,no,no
FCC 153,IC 0335,53.879166,-34.446944,yes,6dF,yes,yes
FCC 156,LSBG F358-052,53.9282,-35.3383,no,,no,no
FCC 160,LSBG F358-050,54.0169,-35.3889,no,,no,no
FCC 161,NGC 1379,54.01666,-35.441666,yes,6dF,yes,yes
FCC 164,LEDA 74766,54.054166,-36.1663888,no,,no,no
FCC 167,NGC 1380,54.11666,-34.9763888,yes,6dF,yes,yes
FCC 170,NGC 1381,54.13333,-35.29555,yes,6dF,yes,yes
FCC 171,FLSBG 243,54.1553,-35.3859,no,,no,yes
FCC 174,LEDA 74777,54.1893,-33.014,no,,no,no
FCC 176,NGC 1369,54.187499,-36.25611,no,,no,yes
FCC 177,NGC 1380A,54.1986,-34.739722,yes,6dF,yes,yes
FCC 179,NGC 1386,54.191666,-35.99944,yes,6dF,yes,yes
FCC 181,LEDA 74781,54.2219,-34.9384,no,,no,no
FCC 182,LEDA 13343,54.225,-35.374722,yes,6dF,no,yes
FCC 184,NGC 1387,54.237499,-35.506388,yes,6dF,yes,yes
FCC 188,LEDA 74785,54.2689,-35.5901,no,,no,yes
FCC 190,NGC 1382,54.2875,-35.195,no,,no,yes
FCC 193,NGC 1389,54.3,-35.74555,yes,6dF,no,yes
FCC 194,LSBG F358-045,54.325,-35.699166,no,,no,no
FCC 195,LEDA 74791,54.3472,-34.9001,no,,no,no
FCC 196,LEDA 74792,54.39166,-35.829166,no,,no,no
FCC 200,LEDA 74802,54.4777,-34.8821,no,,no,no
FCC 201,LSBG F301-016,54.4736,-37.2797,no,,no,no
FCC 202,NGC 1396,54.5275,-35.44,no,,no,yes
FCC 203,ESO 358-42,54.5375,-34.51888,no,,no,no
FCC 204,ESO 358-43,54.556625,-33.127167,yes,6dF,no,no
FCC 205,LEDA 74805,54.531097,-38.092924,no,,no,no
FCC 206,ESO 358-44,54.5557,-37.2899,no,,yes,no
FCC 207,LEDA 74808,54.5802,-35.1291,yes,6dF,yes,yes
FCC 208,LSBG F358-043,54.5784,-35.5309,no,,no,no
FCC 211,LEDA 74811,54.5895,-35.2597,yes,6dF,no,yes
FCC 213,NGC 1399,54.620833,-35.45055,no,,yes,yes
FCC 215,LEDA 74817,54.657,-35.7575,no,,no,yes
FCC 219,NGC 1404,54.71666,-35.59388,yes,6dF,yes,yes
FCC 221,LEDA 74832,54.774,-36.0989,no,,no,no
FCC 222,LEDA 13449,54.8055,-35.3714,no,,no,yes
FCC 223,LEDA 13452,54.8321,-35.7247,no,,no,yes
FCC 227,LEDA 74850,54.9588,-35.5228,no,,no,yes
FCC 230,LEDA 74859,55.0053,-34.7581,no,,no,no
FCC 235,NGC 1427A,55.0375,-35.62444,no,,yes,yes
FCC 241,LSBG F358-037,55.098,-35.2766,no,,no,no
FCC 243,LEDA 74873,55.1126,-36.4989,no,,no,no
FCC 244,LSBG F358-036,55.1278,-35.8779,no,,no,no
FCC 245,NGFS J034034-350122,55.141,-35.0229,no,,no,yes
FCC 247,LSBG F358-034,55.1763,-35.661,no,,no,no
FCC 249,NGC 1419,55.175,-37.510833,yes,6dF,yes,yes
FCC 252,LEDA 74893,55.2101,-35.7484,no,,no,no
FCC 253,LSBG F302-017,55.2303,-37.8376,no,,no,no
FCC 254,LSBG F358-033,55.2533,-35.7425,no,,no,no
FCC 255,ESO 358- 50,55.265,-33.7791,yes,6dF,no,yes
FCC 259,LEDA 74905,55.2805,-35.5144,no,,no,no
FCC 260,LEDA 13560,55.3036,-35.1587,no,,no,no
FCC 261,LEDA 74911,55.3383,-33.7694,no,,yes,yes
FCC 263,ESO 358-51,55.3856,-34.8888,yes,6dF,yes,yes
FCC 264,LEDA 74915,55.3823,-35.5896,no,,no,no
FCC 266,LEDA 74917,55.4222,-35.1703,no,,no,no
FCC 267,LEDA 74919,55.4392,-33.7915,yes,6dF,no,no
FCC 272,LEDA 74930,55.545833,-35.443055,no,,no,no
FCC 274,LEDA 74933,55.570833,-35.540833,no,,no,no
FCC 276,NGC 1427,55.579166,-35.39277,no,,yes,yes
FCC 277,NGC 1428,55.595833,-35.153611,no,,no,yes
